url,location,floor,floors_count,rooms_count,living_meters,kitchen_meters,total_meters,price_feb,price_apr,price_may,district,street,residential_complex,year_of_construction,price_per_m2
https://dzerzhinsky.cian.ru/sale/flat/301296302/,13.0,1.0,4.0,3.0,54.0,9.0,79.0,9170000,8810000,8900000,59.0,616.0,322.0,1932.0,112658.22784810126
https://dzerzhinsky.cian.ru/sale/flat/300575034/,13.0,7.0,14.0,3.0,42.0,12.0,72.0,10830000,10620000,10500000,59.0,779.0,322.0,1987.0,145833.33333333334
https://dzerzhinsky.cian.ru/sale/flat/297364105/,13.0,6.0,18.0,2.0,34.0,14.0,69.0,10840000,10600000,10500000,59.0,671.0,97.0,2004.0,152173.91304347827
https://dzerzhinsky.cian.ru/sale/flat/300418328/,13.0,14.0,19.0,2.0,35.0,13.0,65.0,10710000,10470000,10350000,59.0,621.0,100.0,2011.0,159230.76923076922
https://dzerzhinsky.cian.ru/sale/flat/299465654/,13.0,5.0,5.0,2.0,33.0,7.0,56.0,7630000,7480000,7400000,59.0,426.0,322.0,1955.0,132142.85714285713
https://dzerzhinsky.cian.ru/sale/flat/297376397/,13.0,5.0,9.0,2.0,29.0,5.0,44.0,7500000,7360000,7290000,59.0,779.0,322.0,1978.0,165681.81818181818
https://dzerzhinsky.cian.ru/sale/flat/297046348/,13.0,6.0,9.0,3.0,41.0,9.0,61.0,8820000,8420000,8500000,59.0,863.0,322.0,1976.0,139344.26229508198
https://dzerzhinsky.cian.ru/sale/flat/300001217/,13.0,2.0,2.0,3.0,37.0,6.0,52.0,9110000,8920000,8800000,59.0,52.0,322.0,1955.0,169230.76923076922
https://dzerzhinsky.cian.ru/sale/flat/291371732/,13.0,8.0,9.0,3.0,39.0,7.0,61.0,9690000,9500000,9400000,59.0,640.0,322.0,1986.0,154098.3606557377
https://dzerzhinsky.cian.ru/sale/flat/301459658/,13.0,2.0,9.0,3.0,45.0,16.0,78.0,14290000,13990000,13800000,59.0,863.0,322.0,2001.0,176923.07692307694
https://dzerzhinsky.cian.ru/sale/flat/269071849/,13.0,9.0,9.0,3.0,43.0,7.0,63.0,10640000,10200000,10300000,59.0,386.0,322.0,1980.0,163492.0634920635
https://dzerzhinsky.cian.ru/sale/flat/283452985/,13.0,5.0,12.0,3.0,44.0,11.0,76.0,11010000,10590000,10700000,65.0,640.0,322.0,1986.0,140789.47368421053
https://dzerzhinsky.cian.ru/sale/flat/298226553/,13.0,2.0,14.0,4.0,56.0,8.0,85.0,10520000,10200000,10200000,59.0,671.0,322.0,2003.0,120000.0
https://dzerzhinsky.cian.ru/sale/flat/292527542/,13.0,14.0,14.0,3.0,44.0,10.0,73.0,11730000,11480000,11350000,59.0,671.0,322.0,1995.0,155479.45205479453
https://dzerzhinsky.cian.ru/sale/flat/297528673/,13.0,12.0,17.0,2.0,34.0,14.0,73.0,11350000,11130000,11000000,59.0,671.0,97.0,2004.0,150684.9315068493
https://dzerzhinsky.cian.ru/sale/flat/297505351/,13.0,4.0,17.0,2.0,34.0,28.0,95.0,12840000,12570000,12400000,59.0,226.0,49.0,2022.0,130526.31578947368
https://dzerzhinsky.cian.ru/sale/flat/300373115/,13.0,2.0,16.0,1.0,21.0,9.0,37.0,8770000,8580000,8500000,59.0,863.0,322.0,1979.0,229729.72972972973
https://dzerzhinsky.cian.ru/sale/flat/301835807/,13.0,8.0,9.0,1.0,19.0,6.0,32.0,6790000,6660000,6600000,59.0,36.0,322.0,1961.0,206250.0
https://dzerzhinsky.cian.ru/sale/flat/297107583/,13.0,1.0,9.0,2.0,25.0,7.0,42.0,7540000,7400000,7300000,59.0,863.0,322.0,1978.0,173809.52380952382
https://dzerzhinsky.cian.ru/sale/flat/301273428/,13.0,14.0,18.0,1.0,22.0,22.0,64.0,9230000,8870000,8960000,59.0,671.0,97.0,2004.0,140000.0
https://dzerzhinsky.cian.ru/sale/flat/295011282/,13.0,1.0,14.0,2.0,28.0,8.0,52.0,8810000,8620000,8500000,59.0,640.0,322.0,1981.0,163461.53846153847
https://dzerzhinsky.cian.ru/sale/flat/299457916/,13.0,4.0,12.0,3.0,43.0,6.0,64.0,10160000,9930000,9800000,59.0,863.0,322.0,1981.0,153125.0
https://dzerzhinsky.cian.ru/sale/flat/298414865/,13.0,2.0,17.0,2.0,48.0,15.0,89.0,16890000,16530000,16340000,59.0,671.0,322.0,2017.0,183595.50561797753
https://dzerzhinsky.cian.ru/sale/flat/299287235/,13.0,15.0,17.0,1.0,30.0,15.0,65.0,11230000,11040000,10900000,59.0,671.0,322.0,2017.0,167692.3076923077
https://dzerzhinsky.cian.ru/sale/flat/301900386/,13.0,9.0,14.0,2.0,30.0,9.0,52.0,8250000,7920000,8000000,59.0,640.0,322.0,1991.0,153846.15384615384
https://dzerzhinsky.cian.ru/sale/flat/300772566/,13.0,6.0,13.0,2.0,42.0,15.0,72.0,12310000,12050000,11900000,59.0,863.0,322.0,2002.0,165277.77777777778
https://dzerzhinsky.cian.ru/sale/flat/299906732/,13.0,2.0,5.0,1.0,17.0,5.0,31.0,5790000,5540000,5600000,59.0,112.0,322.0,1970.0,180645.16129032258
