url,living_meters,kitchen_meters,year_of_construction
https://balashikha.cian.ru/sale/flat/299989473/,18.0,6.0,1962
https://balashikha.cian.ru/sale/flat/298258514/,18.7,6.0,1960
https://balashikha.cian.ru/sale/flat/301836539/,17.5,5.6,1966
https://balashikha.cian.ru/sale/flat/291491296/,17.4,1.9,2023
https://balashikha.cian.ru/sale/flat/298357983/,28.8,15.2,0
https://balashikha.cian.ru/sale/flat/292677441/,19.0,6.0,1974
https://balashikha.cian.ru/sale/flat/297641261/,15.0,3.0,2022
https://balashikha.cian.ru/sale/flat/300788589/,16.0,2.0,2022
https://balashikha.cian.ru/sale/flat/276917662/,17.0,6.0,1960
https://balashikha.cian.ru/sale/flat/300222950/,17.0,9.0,2017
https://balashikha.cian.ru/sale/flat/297855280/,14.0,4.0,2022
https://balashikha.cian.ru/sale/flat/301181065/,8.0,0,1991
https://balashikha.cian.ru/sale/flat/301505100/,16.0,8.0,2016
https://balashikha.cian.ru/sale/flat/299132607/,17.1,7.8,1971
https://balashikha.cian.ru/sale/flat/300686181/,15.2,7.8,1964
https://balashikha.cian.ru/sale/flat/299843485/,16.9,7.0,1989
https://balashikha.cian.ru/sale/flat/293861976/,17.0,6.0,1975
https://balashikha.cian.ru/sale/flat/298391747/,15.3,7.2,2022
https://balashikha.cian.ru/sale/flat/301847361/,17.0,6.0,1976
https://balashikha.cian.ru/sale/flat/301976248/,11.4,2.1,2019
https://balashikha.cian.ru/sale/flat/292659858/,19.0,9.0,2013
https://balashikha.cian.ru/sale/flat/300376837/,12.0,4.0,2020
https://balashikha.cian.ru/sale/flat/297850315/,12.5,3.0,2020
https://balashikha.cian.ru/sale/flat/292855375/,15.0,3.0,2020
https://balashikha.cian.ru/sale/flat/299765315/,12.0,3.0,2020
https://balashikha.cian.ru/sale/flat/300338884/,17.2,8.2,1987
https://balashikha.cian.ru/sale/flat/298163274/,17.0,10.0,2023
https://balashikha.cian.ru/sale/flat/299520825/,11.0,3.0,2020
https://balashikha.cian.ru/sale/flat/300435638/,17.0,8.0,2017
https://balashikha.cian.ru/sale/flat/300092810/,17.0,10.0,2020
https://balashikha.cian.ru/sale/flat/277565028/,17.7,8.5,2013
https://balashikha.cian.ru/sale/flat/296306512/,16.9,5.8,1968
https://balashikha.cian.ru/sale/flat/299297155/,17.7,8.9,2013
https://balashikha.cian.ru/sale/flat/298400926/,14.0,8.5,2023
https://balashikha.cian.ru/sale/flat/299480862/,15.0,10.0,2020
https://balashikha.cian.ru/sale/flat/300012132/,13.0,4.0,2019
https://balashikha.cian.ru/sale/flat/299469497/,27.0,6.0,1968
https://balashikha.cian.ru/sale/flat/296090757/,15.0,9.0,2023
https://balashikha.cian.ru/sale/flat/297515159/,14.0,5.0,2022
https://balashikha.cian.ru/sale/flat/297515160/,14.0,5.0,2022
https://balashikha.cian.ru/sale/flat/290866809/,28.0,6.0,1968
https://balashikha.cian.ru/sale/flat/301339315/,14.0,4.0,2018
https://balashikha.cian.ru/sale/flat/300533245/,17.0,5.0,1968
https://balashikha.cian.ru/sale/flat/299259508/,18.0,6.0,1900
https://balashikha.cian.ru/sale/flat/300001955/,17.0,9.0,1983
https://balashikha.cian.ru/sale/flat/301325127/,17.0,6.0,1962
https://balashikha.cian.ru/sale/flat/301131226/,17.5,11.5,2020
https://balashikha.cian.ru/sale/flat/298051296/,18.0,7.0,1990
https://balashikha.cian.ru/sale/flat/300002057/,18.5,9.0,2016
https://balashikha.cian.ru/sale/flat/301953988/,4.0,0,2019
https://balashikha.cian.ru/sale/flat/301456318/,20.0,9.0,2013
https://balashikha.cian.ru/sale/flat/301060490/,16.0,0,2020
https://balashikha.cian.ru/sale/flat/299654160/,11.0,8.0,2020
https://balashikha.cian.ru/sale/flat/300667373/,16.0,3.0,2022
https://balashikha.cian.ru/sale/flat/301955937/,32.0,7.0,1962
https://balashikha.cian.ru/sale/flat/300617865/,17.0,8.0,1995
https://balashikha.cian.ru/sale/flat/301014919/,17.0,7.0,1976
https://balashikha.cian.ru/sale/flat/301675973/,9.7,0,2014
https://balashikha.cian.ru/sale/flat/301110863/,16.0,6.0,1976
https://balashikha.cian.ru/sale/flat/293613115/,18.0,7.0,1975
https://balashikha.cian.ru/sale/flat/296608306/,19.2,8.1,1992
https://balashikha.cian.ru/sale/flat/299008446/,19.3,5.8,1982
https://balashikha.cian.ru/sale/flat/289803390/,19.5,13.5,2016
https://balashikha.cian.ru/sale/flat/301406377/,15.3,3.0,2020
https://balashikha.cian.ru/sale/flat/295055568/,18.9,9.7,2014
https://balashikha.cian.ru/sale/flat/296830505/,17.0,12.0,2013
https://balashikha.cian.ru/sale/flat/300945026/,17.0,8.0,1997
https://balashikha.cian.ru/sale/flat/294969565/,19.0,10.0,2014
https://balashikha.cian.ru/sale/flat/300787932/,30.0,6.0,1965
https://balashikha.cian.ru/sale/flat/301732455/,16.0,9.5,2014
https://balashikha.cian.ru/sale/flat/301005149/,14.0,5.0,2023
https://balashikha.cian.ru/sale/flat/293506894/,16.5,7.0,1970
https://balashikha.cian.ru/sale/flat/299914656/,21.9,6.0,2008
https://balashikha.cian.ru/sale/flat/299456066/,15.0,10.0,2020
